French,English
partie,part
histoire,history
police,police
pensais,thought
aide,help
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
ville,city
chaque,each
parlé,speak
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
place,square
parle,speak
compris,understood
savais,knew
étaient,were
voici,here is
pourrais,could
affaire,case
type,type
donné,given
train,train
corps,body
endroit,place
façon,way
écoute,listen
perdu,lost
main,hand
première,first
côté,side
point,point
venu,came
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
attendez,Wait
parti,left
nouvelle,new
terre,Earth
fin,end
croire,believe
chérie,sweetheart
aura,will have
bureau,office
